Year,Date,Column1,Library Code,as_library_code,Catalog Title,Call Number,as_call_number_category,Circulation,Item Category
2022,6/11/2022,,YE,Yelm,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,6/11/2022,,TU,Tumwater,"Ukulele KA-B (Baritone), with soft case",INSTRUMENT UKULELE +CASE +TUNER,Musical Instrument,1,K-INSTRUM
2022,6/11/2022,,TU,Tumwater,"Ukulele MK-C (Concert), with soft case",INSTRUMENT UKULELE +CASE +TUNER,Musical Instrument,1,K-INSTRUM
2022,6/11/2022,,TU,Tumwater,"Ukulele MK-S, with case, booklet, tuner",INSTRUMENT UKULELE +CASE +TUNER,Musical Instrument,1,K-INSTRUM
2022,6/11/2022,,TU,Tumwater,"Ukulele, with soft case",INSTRUMENT UKULELE +CASE +TUNER,Musical Instrument,1,K-INSTRUM
2022,6/11/2022,,TU,Tumwater,Violin,INSTRUMENT VIOLIN+CASE,Musical Instrument,1,K-INSTRUM
2022,6/11/2022,,NA,Naselle,,KIT WATAP READ/WRITE #3  2010,Accessibility Device,1,
2022,6/13/2022,,TU,Tumwater,Cajon,INSTRUMENT CAJON,Musical Instrument,1,K-INSTRUM
2022,6/13/2022,,LA,Lacey,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,6/13/2022,,OL,Olympia,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,6/13/2022,,LA,Lacey,Fishing Rod and Tackle Box,KIT TRL_512 FISHING ROD&TACKLE #3-LA,Fishing Kit,1,K-FISHING
2022,6/13/2022,,AB,Aberdeen,Ozobot - Evo Classic White Robot Kit,KIT OZOBOT-EVO #3 2020,Robot Kit,1,K-STEM
2022,6/13/2022,,TU,Tumwater,"Ukulele KA-B (Baritone), with soft case",INSTRUMENT UKULELE +CASE +TUNER,Musical Instrument,1,K-INSTRUM
2022,6/13/2022,,TU,Tumwater,"Ukulele MK-C (Concert), with soft case",INSTRUMENT UKULELE +CASE +TUNER,Musical Instrument,1,K-INSTRUM
2022,6/13/2022,,TU,Tumwater,"Ukulele MK-S, with case, booklet, tuner",INSTRUMENT UKULELE +CASE +TUNER,Musical Instrument,1,K-INSTRUM
2022,6/13/2022,,TU,Tumwater,"Ukulele, with soft case",INSTRUMENT UKULELE +CASE +TUNER,Musical Instrument,1,K-INSTRUM
2022,6/14/2022,,CH,Chehalis,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/14/2022,,MC,McCleary,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/14/2022,,TU,Tumwater,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/14/2022,,YE,Yelm,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,6/14/2022,,AB,Aberdeen,Code-A-Pillar Kit,KIT CODE-A-PILL #4 2020,Code-a-pillar Kit,1,K-STEM
2022,6/14/2022,,OP,Ocean Park,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,6/14/2022,,OL,Olympia,,KIT WATAP READ/WRITE #1  2010,Accessibility Device,1,
2022,6/15/2022,,LA,Lacey,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/15/2022,,OP,Ocean Park,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/15/2022,,LA,Lacey,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,6/15/2022,,IL,Ilwaco,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,6/15/2022,,OP,Ocean Park,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,6/15/2022,,TU,Tumwater,Fishing Rod and Tackle Box,KIT TRL_431 FISHING ROD&TACKLE #1-TU,Fishing Kit,1,K-FISHING
2022,6/15/2022,,TU,Tumwater,"Guitar (3/4-size), with soft case",INSTRUMENT GUITAR +CASE +TUNER,Musical Instrument,1,K-INSTRUM
2022,6/15/2022,,TU,Tumwater,"Lyre harp (19 strings), with soft case",INSTRUMENT LYRE +CASE,Musical Instrument,1,K-INSTRUM
2022,6/16/2022,,NM,North Mason,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/16/2022,,TE,Tenino,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/16/2022,,AB,Aberdeen,Ozobot - Evo Classic White Robot Kit,KIT OZOBOT-EVO #4 2020,Robot Kit,1,K-STEM
2022,6/17/2022,,TU,Tumwater,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/17/2022,,SB,South Bend,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,6/17/2022,,LA,Lacey,Explore your forest! backpack,KIT-J EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,6/17/2022,,TU,Tumwater,Fishing Rod and Tackle Box,KIT TRL_449 FISHING ROD&TACKLE #3-TU,Fishing Kit,1,K-FISHING
2022,6/18/2022,,IL,Ilwaco,Columbia River Maritime Museum Passes /,MUSEUM-PASS #02,Museum Pass,1,POLICY NOT FOUND
2022,6/18/2022,,NA,Naselle,Columbia River Maritime Museum Passes /,MUSEUM-PASS #02,Museum Pass,1,POLICY NOT FOUND
